old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].CopyA[0].FormHeader[0].c1_1[0],copy_a_0_form_header_0_c1_1_0,checkbox,1,"[187.200, 757.000, 197.200, 767.000]"
c1_1[1],topmostSubform[0].CopyA[0].FormHeader[0].c1_1[1],copy_a_0_form_header_0_c1_1_1,checkbox,1,"[244.800, 757.000, 254.800, 767.000]"
f1_1[0],topmostSubform[0].CopyA[0].FormHeader[0].CalendarYear[0].f1_1[0],copy_a_0_form_header_0_calendar_year_0_f1_1_0,text,1,"[417.600, 687.000, 453.600, 695.999]"
f1_2[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_2[0],copy_a_0_left_col_0_f1_2_0,text,1,"[52.400, 684.000, 294.200, 731.999]"
f1_3[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_3[0],copy_a_0_left_col_0_f1_3_0,text,1,"[50.400, 659.999, 172.800, 674.000]"
f1_4[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_4[0],copy_a_0_left_col_0_f1_4_0,text,1,"[172.800, 659.999, 295.200, 674.000]"
f1_5[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_5[0],copy_a_0_left_col_0_f1_5_0,text,1,"[52.400, 623.999, 294.200, 649.999]"
f1_6[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_6[0],copy_a_0_left_col_0_f1_6_0,text,1,"[52.400, 599.998, 294.200, 613.999]"
f1_7[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_7[0],copy_a_0_left_col_0_f1_7_0,text,1,"[52.400, 576.000, 294.200, 590.001]"
f1_8[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_8[0],copy_a_0_left_col_0_f1_8_0,text,1,"[50.400, 551.999, 295.200, 566.000]"
c1_2[0],topmostSubform[0].CopyA[0].RightCol[0].c1_2[0],copy_a_0_right_col_0_c1_2_0,checkbox,1,"[482.400, 606.999, 492.400, 616.999]"
f1_9[0],topmostSubform[0].CopyA[0].RightCol[0].f1_9[0],copy_a_0_right_col_0_f1_9_0,text,1,"[295.200, 731.999, 396.000, 746.000]"
f1_10[0],topmostSubform[0].CopyA[0].RightCol[0].f1_10[0],copy_a_0_right_col_0_f1_10_0,text,1,"[309.600, 708.001, 395.000, 720.000]"
f1_11[0],topmostSubform[0].CopyA[0].RightCol[0].f1_11[0],copy_a_0_right_col_0_f1_11_0,text,1,"[309.600, 684.000, 395.000, 695.999]"
f1_12[0],topmostSubform[0].CopyA[0].RightCol[0].f1_12[0],copy_a_0_right_col_0_f1_12_0,text,1,"[296.200, 623.999, 495.800, 674.000]"
f1_13[0],topmostSubform[0].CopyA[0].RightCol[0].f1_13[0],copy_a_0_right_col_0_f1_13_0,text,1,"[295.200, 551.999, 396.000, 566.000]"
f1_14[0],topmostSubform[0].CopyA[0].RightCol[0].f1_14[0],copy_a_0_right_col_0_f1_14_0,text,1,"[410.400, 552.002, 495.800, 564.001]"
c2_1[0],topmostSubform[0].CopyB[0].FormHeader[0].c2_1[0],copy_b_0_form_header_0_c2_1_0,checkbox,2,"[244.800, 757.000, 254.800, 767.000]"
f2_1[0],topmostSubform[0].CopyB[0].FormHeader[0].CalendarYear[0].f2_1[0],copy_b_0_form_header_0_calendar_year_0_f2_1_0,text,2,"[417.600, 687.000, 453.600, 695.999]"
f2_2[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_2[0],copy_b_0_left_col_0_f2_2_0,text,2,"[52.400, 684.000, 294.200, 731.999]"
f2_3[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_3[0],copy_b_0_left_col_0_f2_3_0,text,2,"[50.400, 659.999, 172.800, 674.000]"
f2_4[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_4[0],copy_b_0_left_col_0_f2_4_0,text,2,"[172.800, 659.999, 295.200, 674.000]"
f2_5[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_5[0],copy_b_0_left_col_0_f2_5_0,text,2,"[52.400, 623.999, 294.200, 649.999]"
f2_6[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_6[0],copy_b_0_left_col_0_f2_6_0,text,2,"[52.400, 599.998, 294.200, 613.999]"
f2_7[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_7[0],copy_b_0_left_col_0_f2_7_0,text,2,"[52.400, 576.000, 294.200, 590.001]"
f2_8[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_8[0],copy_b_0_left_col_0_f2_8_0,text,2,"[50.400, 551.999, 295.200, 566.000]"
c2_2[0],topmostSubform[0].CopyB[0].RightCol[0].c2_2[0],copy_b_0_right_col_0_c2_2_0,checkbox,2,"[482.400, 606.999, 492.400, 616.999]"
